id,metric,value
7,prob,financ, invest, servic, countri, cost, sanit, develop, sector, project, provid
7,frex,off-grid, landscape-bas, ing, blend, ment, bond, oba, repay, investor, mfis
7,lift,landscape-bas, aaa-rat, acp-eu, actiam, acumen, aguatero, aiib, ail, ambac, anc
7,score,off-grid, ing, financ, blend, landscape-bas, mpwi, mfis, oda, sub-sovereign, micro-fin
2,prob,servic, manag, develop, sanit, tariff, wss, system, suppli, use, resourc
2,frex,rayon, apacan, pripyat, kgs, cape, dnieper, moldova, minsk, nef, vodocan
2,lift,aktob, ansrc, apel, arem, arnasi, atyrau, back-stop, baku, basarabeasca, biotica
2,score,oblast, rayon, cape, dws, belarus, kgs, apacan, wss, dnieper, pripyat
8,prob,use, manag, charg, basin, resourc, river, state, plan, user, cost
8,frex,molit, ana, charg, meres, brazil, abstract, permit, rio, korea, pact
8,lift,arnaud, bernard, daee, dong, environment-rel, fundo, fundrhi, jaguarib, paranaiba, paranapanema
8,score,ana, molit, charg, pcj, meres, gerai, welf, recurso, basin, mafra
3,prob,risk, climat, chang, agricultur, flood, adapt, increas, polici, impact, manag
3,frex,punjab, hotspot, weather, precipit, asean, temp-fruit, temperatur, insur, extrem, sub-fruit
3,lift,aacc, agrawala, agriinsur, agrist, agrometeorolog, aguilar, alpin, amarasingh, apterr, arnel
3,score,punjab, asean, myanmar, climat, risk, temp-fruit, sub-fruit, hotspot, viet, chang
5,prob,govern, stakehold, manag, engag, polici, citi, level, flood, process, principl
5,frex,engag, stakehold, inclus, citi, principl, evolv, respond, process, checklist, trust
5,lift,abelson, adattamento, alsac, area-fua, arno, arnstein, awi, bloschl, cambiamenti, camboriu
5,score,stakehold, engag, govern, flood-risk, citi, bologna, principl, metropolitan, flood-rel, tick
1,prob,servic, regul, sector, govern, oper, public, privat, project, manag, regulatori
1,frex,pmu, siph, waj, jordan, interjurisdict, bueno, tnd, psp, tunisian, soned
1,lift,balqa, bapin, bpeh, canilla, cgf, coirco, comparativo, conal, consommateur, dessal
1,score,soned, ona, pmu, argentina, waj, bueno, tnd, tunisian, psp, siph
9,prob,pollut, qualiti, manag, cost, agricultur, environment, polici, risk, use, pharmaceut
9,frex,pharmaceut, toxicolog, api, diclofenac, antimicrobi, amr, pharmaci, boxal, metabolit, larsson
9,lift,collin, diclofenac, toxicolog, abler, acetaminophen, acetylsalicyl, aculeatus, adeel, adler, adsorpt
9,score,pharmaceut, api, antibiot, pharmaci, diclofenac, toxicolog, amr, antimicrobi, veterinari, cec
4,prob,groundwat, use, irrig, agricultur, resourc, manag, alloc, countri, well, region
4,frex,shardara, wikipedia, brozovi, koksaray, pump, groundwat, aquif, entitl, argyl, deplet
4,lift,agclim, aitek, anarchi, annuitis, aral-low, archaeolog, ausmdb, baboo, benu, berga
4,score,shardara, groundwat, margat, brozovi, kyzylorda, mpwi, syr, mpw, ougc, shpa
6,prob,govern, polici, level, co-ordin, region, ministri, manag, resourc, nation, basin
6,frex,mxn, cg, non-import, cchh, anam, marm, admin, conagua, serna, marn
6,lift,cchh, non-import, accc, acqua, admin, administration, agenzia, aiv, amh, anb
6,score,cg, conagua, mxn, lac, anam, cchh, marm, serna, marn, admin
